CODGEO,taux_equipement_ve,total_pdc,puissance_moyenne,puissance_max,nb_operateurs,pct_combo_ccs,pct_paiement_cb,pct_paiement_autre,pct_charge_rapide,top_operateur,prive,public,rapide,voirie,Libellé géographique,[DISP] Médiane (€),[DISP] Nbre de personnes dans les ménages fiscaux
51267,0.03804347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51269,0.033854166666666664,6.0,4.6,11.0,3.0,0.0,0.25,1.0,0.0,Modulo,0.5,0.0,0.0,0.5,,,
51270,0.021505376344086023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51272,0.021526418786692758,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Modulo,0.0,0.0,0.0,1.0,,,
51273,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51274,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51275,0.027932960893854747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51276,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51277,0.04878048780487805,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Modulo,0.0,0.0,0.0,1.0,,,
51278,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51279,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51281,0.03869047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51284,0.04281345565749235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51285,0.0038314176245210726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51286,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51287,0.045133991537376586,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Modulo,0.0,0.0,0.0,1.0,,,
51288,0.02880658436213992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51289,0.008733624454148471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51290,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51292,0.02112676056338028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51293,0.04330708661417323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51294,0.02912621359223301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51295,0.019498607242339833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51300,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51301,0.09923664122137404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51302,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51303,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51304,0.010582010582010581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51305,0.09210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51306,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51307,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51308,0.037578288100208766,41.0,19.714285714285715,50.0,3.0,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.14285714285714285,Freshmile | FR*FR1,0.14285714285714285,0.5714285714285714,0.0,0.2857142857142857,,,
51309,0.03875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51310,0.06756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51311,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51312,0.03371868978805395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51313,0.011848341232227487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51314,0.02510460251046025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51316,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51317,0.04395604395604396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51318,0.06814580031695722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51319,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51320,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51321,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51322,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51323,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51325,0.029197080291970802,1.0,22.0,22.0,1.0,0.0,0.0,1.0,0.0,YES55 | FR*Y55,0.0,1.0,0.0,0.0,,,
51326,0.03300624442462088,4.0,22.0,22.0,1.0,0.0,1.0,1.0,0.0,Qwello,0.0,0.0,0.0,1.0,,,
51327,0.014150943396226415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51328,0.02427637721755369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51333,0.06524466750313676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51334,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51337,0.02527075812274368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51338,0.050073637702503684,4.0,22.0,22.0,1.0,0.0,0.0,1.0,0.0,Freshmile | FR*FR1,1.0,0.0,0.0,0.0,,,
51339,0.03420195439739414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51340,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51343,0.009446693657219974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51344,0.044710327455919394,25.0,22.0,22.0,1.0,0.0,0.0,1.0,0.0,Freshmile | FR*FR1,1.0,0.0,0.0,0.0,,,
51345,0.030405405405405407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51346,0.02771362586605081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51348,0.022556390977443608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51351,0.04132231404958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51352,0.019767441860465116,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Modulo,0.0,0.0,0.0,1.0,,,
51354,0.01483679525222552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51356,0.03529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51357,0.03475513428120063,40.0,187.5,250.0,2.0,1.0,0.5,0.0,1.0,TESLA France SARL,0.0,0.5,0.5,0.0,,,
51359,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51360,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51361,0.014388489208633094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51362,0.05285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51363,0.01644736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51364,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51365,0.04723618090452261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51367,0.056239015817223195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
51368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
